method,year,family,how_k_is_decided,verdict,needs_range,key_user_parameters,cost_per_k,runs_of_base_algorithm,high_dim_behaviour,nonconvex_ok,kmeans_native,known_failure_modes,notes,doi_or_id
Silhouette,1987,CVI,"argmax over k of mean (b_i-a_i)/max(a_i,b_i)",RANGE,Yes,k_max,O(n^2d) per k,k_maxxrestarts,Degrades w. overlap+dim,No (convex bias),Via k-means,Underpunishes bad clusterings,Micro-average favours large clusters; undefined at k=1,10.1016/0377-0427(87)90125-7
Calinski--Harabasz,1974,CVI,argmax of between/within variance ratio,RANGE,Yes,k_max,O(nkd) per k,k_maxxrestarts,Mixed evidence,No,Via k-means,Degrades sharply w. 10% noise,"Best noise-free, worst on outlierrich real data",10.1080/03610927408827101
Davies--Bouldin,1979,CVI,argmin of mean worst-case similarity,RANGE,Yes,k_max,O(nkd) per k,k_maxxrestarts,Moderate,No,Via k-means,Robust to overlap,Promotes overlapping/degenerate partitions when optimised,10.1109/TPAMI.1979.4766909
Xie--Beni,1991,CVI,argmin compactness/min-separation,RANGE,Yes,"k_max , fuzzifier",O(nkd) per k,k_max,Weak,No,Yes,Yes,Fuzzy origin; undefined at k=1,10.1109/34.85677
S_Dbw,2001,CVI,argmin scatter + inter-density,RANGE,Yes,k_max,O(nkd),k_max,Weak,No,Yes,Yes,Cannot handle non-convex or curved geometries,
CVNN,2013,CVI,argmin nearest-neighbour based compact/separation,RANGE,Yes,"k_max , NN size",O(n^2d),k_max,Moderate,Partly,Yes,Moderate,Adds a neighbourhood size parameter,10.1109/TSMCB.2012.2220543
BWC index,2021,CVI,peak of between-within index over range,RANGE,Yes,k_max,not stated,k_max,Untested,Partly,Yes,Untested,Mechanics not retrievable; Silhouette variant,10.1007/s11063-021-10427-8
ANSNN index,2023,CVI,optimise augmented non-shared-NN index,RANGE,Yes,"k_max , NN size",not stated,k_max,Untested,Yes (claimed),Yes,Untested,Equations not independently verified here,10.1016/j.eswa.2023.119784
ECVI ensemble,2023,CVI,ensemble of SIL/DB/CH/Gap over range,RANGE,Yes,"k_max , weights",>= 4 index sweeps,k_max,Weak,No,Yes,Yes,Aggregation rule not stated in retrievable text,10.1007/s10489-022-03939-w
Absolute indices,2025,CVI,max of compactness+separability in 2-D decision space,RANGE,Yes,"varepsilon, eta, mu, k_max",not stated,k_max,Good on Dim256,Partly,Yes,Robust variants offered,varepsilon heuristic; no complexity analysis,arXiv:2510.13065
